月份,250cc+全体销量(万台),250cc+全体内销≈上牌(万台),仿赛前10合计(台),仿赛前10占比,销量第1品牌,销量第1数量(台),销量第2品牌,销量第2数量(台),销量第3品牌,销量第3数量(台),前三名总销量(台),前三名销量占比,上牌第1品牌,上牌第1数量(台),上牌第2品牌,上牌第2数量(台),上牌第3品牌,上牌第3数量(台),前三名总上牌(台),前三名上牌占比,张雪品牌总销量(台),张雪品牌上牌(台),500RR销量(台),500RR上牌(台)
2025.1,5.90,2.0,仿赛前10合计未知,仿赛前10占比未知,销量第1品牌未知,销量第1数量未知,销量第2品牌未知,销量第2数量未知,销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,未上市,张雪品牌上牌未知,未上市,500RR上牌未知
2025.2,5.80,2.0,仿赛前10合计未知,仿赛前10占比未知,销量第1品牌未知,销量第1数量未知,销量第2品牌未知,销量第2数量未知,销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,未上市,张雪品牌上牌未知,未上市,500RR上牌未知
2025.3,8.81,4.6,26000(Q1累计),12.7%(Q1),春风450SR,8056(Q1),赛600RS,4833(Q1),凯越450RR,4123(Q1),17012(Q1),8.3%,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,800(交付),张雪品牌上牌未知,800(交付),500RR上牌未知
2025.4,9.30,5.4,仿赛前10合计未知,仿赛前10占比未知,销量第1品牌未知,销量第1数量未知,销量第2品牌未知,销量第2数量未知,销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,1500(交付),张雪品牌上牌未知,1500(交付),500RR上牌未知
2025.5,10.12,5.1,仿赛前10合计未知,仿赛前10占比未知,凯越450RR,1800,张雪500RR,1100,销量第3品牌未知,销量第3数量未知,2900,2.9%,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,1100(交付),张雪品牌上牌未知,1100(交付),500RR上牌未知
2025.6,10.20,4.5,仿赛前10合计未知,仿赛前10占比未知,张雪500RR,2141,凯越450RR,1741,赛600RS,1437,5319,5.2%,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,2141,张雪品牌上牌未知,2141,500RR上牌未知
2025.7,8.80,4.2,仿赛前10合计未知,仿赛前10占比未知,销量第1品牌未知,销量第1数量未知,销量第2品牌未知,销量第2数量未知,销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,张雪品牌总销量未知,张雪品牌上牌未知,500RR销量未知,500RR上牌未知
2025.8,8.40,3.8,仿赛前10合计未知,仿赛前10占比未知,销量第1品牌未知,销量第1数量未知,销量第2品牌未知,销量第2数量未知,销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,张雪500RR,2984,春风450SR,2727,无极CU625,2201,7912,9.4%,2984,2984,2984,2984
2025.9,8.60,3.3,仿赛前10合计未知,仿赛前10占比未知,销量第1品牌未知,销量第1数量未知,销量第2品牌未知,销量第2数量未知,销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,张雪品牌总销量未知,张雪品牌上牌未知,500RR销量未知,500RR上牌未知
2025.10,6.09,2.4,仿赛前10合计未知,仿赛前10占比未知,张雪500RR,登顶台数未知,销量第2品牌未知,销量第2数量未知,销量第3品牌未知,销量第3数量未知,前三名总销量未知,前三名销量占比未知,上牌第1品牌未知,上牌第1数量未知,上牌第2品牌未知,上牌第2数量未知,上牌第3品牌未知,上牌第3数量未知,前三名总上牌未知,前三名上牌占比未知,张雪品牌总销量未知,张雪品牌上牌未知,500RR销量未知,500RR上牌未知
